# public-spec-sections.tsv -- GENERATED by bin/check-publication-paths --record-sections.
# Do not edit by hand.
#
# One `section<TAB>line` row per numbered section of the published protocol
# specification -- headings AND ordered-list items, because that document numbers
# several of its sections as lists and a heading-only index reports their points
# as dangling. This repository does not ship that document, so the numbers are
# vendored here for `bin/check-publication-paths` to resolve citations against
# offline. When both repositories are checked out side by side the same script
# re-derives them and fails on any disagreement, so the copy cannot drift.
#
# source sha256: dbb653831f5d43357b5b72cf2117f1988c4c0f580cbcdd7af0bbd5fb25010c1b
# sections: 151
1	18
1.1	20
1.2	36
1.3	46
1.4	59
2	83
3	118
3.1	120
3.2	123
3.3	125
3.4	128
3.5	131
3.6	136
3.7	166
3.7.1	171
3.7.2	179
3.7.3	182
3.7.4	204
3.7.5	209
3.8	212
3.8.1	216
3.8.2	222
3.8.3	238
3.8.4	245
3.8.5	250
3.8.6	257
3.8.7	261
3.8.8	267
3.8.9	282
3.8.10	288
3.8.11	295
4	303
4.1	307
4.2	377
4.3	425
4.4	455
4.5	462
4.6	518
5	555
5.1	563
5.2	573
5.3	586
5.4	603
5.5	619
6	637
6.1	650
6.1.1	652
6.1.2	666
6.1.3	669
6.2	737
6.3	756
7	814
7.1	825
7.1.1	827
7.1.2	830
7.1.3	836
7.1.4	839
7.2	845
7.2.1	887
7.2.2	890
7.2.3	895
7.2.4	901
7.3	929
7.3.1	936
7.3.2	944
7.3.3	950
8	981
8.1	986
8.1.1	1040
8.1.2	1043
8.1.3	1054
8.1.4	1056
8.1.5	1059
8.1.6	1063
8.1.7	1065
8.1.8	1067
8.1.9	1087
8.2	1125
8.3	1166
8.4	1315
8.5	1410
8.5.1	1427
8.5.2	1452
8.5.3	1470
8.5.4	1497
8.5.5	1534
8.5.6	1557
8.5.7	1587
9	1594
9.1	1724
9.1.1	1730
9.1.2	1735
9.1.3	1739
10	1803
10.1	1871
11	1902
11.1	1906
11.2	1979
11.3	1992
11.4	2017
11.5	2026
11.6	2070
12	2174
12.1	2189
12.2	2201
12.3	2214
13	2226
13.1	2232
13.2	2237
13.3	2241
14	2258
14.1	2260
14.2	2266
14.3	2308
14.4	2312
15	2331
15.1	2336
15.2	2350
15.3	2366
15.4	2373
15.5	2380
15.6	2388
15.7	2395
15.8	2400
15.9	2413
15.9.1	2436
15.9.2	2438
15.9.3	2441
15.9.4	2444
15.9.5	2447
15.9.6	2449
16	2483
16.1	2485
16.1.1	2495
16.1.2	2498
16.1.3	2501
16.1.4	2519
16.1.5	2529
16.1.6	2538
16.1.7	2544
16.1.8	2560
16.1.9	2568
16.2	2590
16.3	2635
16.3.1	2639
16.3.2	2643
17	2653
17.1	2700
17.2	2701
17.3	2707
18	2731
